Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1646;29.91312272;1178.427096;166.926;0.715149051;0.279772867;0.943266476;45.37141371;47.25862952;1000;2;1;n
1460;43.19520548;502.7171233;163.959;0.657062587;0.547103577;0.949284785;39.62627922;47.33955324;1000;2;2;n
1554;135.3371943;1293.398327;155.969;0.771369906;0.258027061;0.949297495;44.07342033;45.6181565;1000;2;3;n
1159;160.4063848;1815.022433;189.2;0.393683202;0.757728606;0.879362671;31.61434284;48.4459168;1000;2;4;n
1795;203.9844011;1104.991643;168.101;0.769220284;0.329566772;0.959893048;46.49751554;49.24894216;1000;2;5;n
1660;236.3487952;904.1855422;154;0.844764492;0.401846533;0.962318841;44.25280698;48.32638121;1000;2;6;n
1553;241.3393432;1054.179652;171.741;0.638099132;0.358971521;0.934978928;43.3215855;46.41522956;1000;2;7;n
1509;244.0775348;743.6925116;150.998;0.798124587;0.206939837;0.950850662;43.91740861;44.88909272;1000;2;8;n
1676;262.3287589;571.1527446;167.613;0.72233572;0.423913588;0.945823928;44.4218036;49.0467861;1000;2;9;n
1638;265.7344322;1622.134921;169.308;0.692148713;0.385426331;0.950116009;44.18326926;47.88275764;1000;2;10;n
1829;301.1902679;378.825041;166.48;0.798842746;0.342012023;0.955590387;47.24957032;50.28178435;1000;2;11;n
1561;331.3600256;1469.073671;169.21;0.660362138;0.508133012;0.933054393;42.00180847;48.7668079;1000;2;12;n
1644;336.3491484;555.0517032;160.038;0.775853972;0.465263838;0.944284894;43.62684509;49.28628848;1000;2;13;n
1852;392.5242981;696.7084233;168.482;0.790126938;0.369864143;0.95661157;47.06441104;50.65668696;1000;2;14;n
2421;409.810822;1409.907889;239.671;0.516014899;0.872398726;0.865260901;40.56119252;82.98202734;1000;2;15;n
1531;415.6727629;1082.024167;163.495;0.692858105;0.573364145;0.935819071;40.54829519;49.49134986;1000;2;16;n
1544;459.7687824;1032.790155;160.41;0.725349982;0.275807531;0.957816377;43.82695593;45.59547288;1000;2;17;n
1433;503.85485;83.43405443;154.38;0.72573132;0.465056378;0.942143327;40.72918178;46.00706301;1000;2;18;n
