Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1685;41.34005935;93.97804154;157.051;0.825134809;0.359693711;0.937152392;45.73218696;49.01257752;1000;3;1;n
1121;42.5352364;141.6601249;120.663;0.919055981;0.403998964;0.973090278;36.15773665;39.52704393;1000;3;2;n
1430;45.57832168;555.4727273;142.306;0.849440232;0.237880405;0.950166113;42.4590408;43.71387143;1000;3;3;n
1169;63.93498717;515.0940975;196.832;0.367349182;0.425971833;0.840402588;40.48663105;44.74964194;1000;3;4;n
1211;119.6011561;1689.54583;134.606;0.802021428;0.305226603;0.944617785;39.14041172;41.10179992;1000;3;5;n
1387;188.1160779;725.9480894;150.469;0.738659003;0.425450359;0.913100724;41.13948806;45.4589139;1000;3;6;n
1056;198.9649621;1688.849432;126.097;0.794491659;0.509075399;0.951351351;34.48219507;40.06194559;1000;3;7;n
1429;284.1840448;880.7452764;155.2;0.716229286;0.418432385;0.906150919;42.17452617;46.43503589;1000;3;8;n
1387;291.6157174;484.1312185;149.584;0.747244431;0.383072712;0.939701897;40.87431916;44.24977177;1000;3;9;n
2378;305.3225399;824.2279226;477.801;0.129191885;0.751759591;0.783009549;46.29768961;70.20787499;1000;3;10;y
2304;329.1367188;1837.525608;223.321;0.56454607;0.877367591;0.877380046;39.07875273;81.4448083;1000;3;11;n
1421;350.2814919;1632.508093;143.902;0.825870078;0.370827636;0.939814815;41.75512067;44.96074495;1000;3;12;n
1292;353.0735294;97.98219814;131.778;0.891912674;0.368630337;0.965620329;39.58729257;42.58639366;1000;3;13;n
1457;370.2354152;1266.509266;145.49;0.828795058;0.349083401;0.950424005;42.23209517;45.06719777;1000;3;14;n
2093;421.4988055;409.4486383;208.088;0.589480671;0.394305721;0.941520468;49.5711768;53.94155832;1000;3;15;n
1454;432.2764787;758.7269601;156.73;0.714877565;0.34851517;0.916194077;42.85801591;45.72481846;1000;3;16;n
1337;471.7591623;682.2857143;302.767;0.179538635;0.526221624;0.797732697;39.71128983;46.70007461;1000;3;17;n
1227;529.0130399;423.1524042;129.876;0.871437529;0.406000034;0.966141732;38.09477011;41.68496888;1000;3;18;n
1272;536.7358491;856.2484277;207.592;0.359939437;0.430223308;0.888268156;38.95587727;43.15376812;1000;3;19;n
1609;549.0497203;732.5599751;199.661;0.491607956;0.496882416;0.898380793;42.765184;49.27898493;1000;3;20;n
1111;556.0846085;227.4392439;120.15;0.918453128;0.341851739;0.971153846;36.51658997;38.85760947;1000;3;21;n
1082;605.668207;1248.876155;146.07;0.610705727;0.401659104;0.917726887;36.14999221;39.47413875;1000;3;22;n
1410;609.5744681;1844.295745;136.318;0.91102898;0.410808669;0.971743625;40.48920586;44.40961671;1000;3;23;n
1141;614.2366345;1450.192813;122.573;0.907244039;0.38651745;0.973549488;36.66063293;39.74991292;1000;3;24;n
1282;642.4360374;1262.425117;142.083;0.76386666;0.595084948;0.93508388;36.63855591;45.58946325;1000;3;25;n
1465;650.0600683;1369.123549;144.572;0.843735974;0.312540757;0.944551902;42.60433385;44.85118299;1000;3;26;n
1979;662.0656897;295.7786761;712.678;0.048534269;0.544677573;0.518198481;70.40813879;83.95458562;1000;3;27;y
1274;663.2401884;1685.682104;129.156;0.914693112;0.327253377;0.977743668;39.18654381;41.4700232;1000;3;28;n
1265;667.5636364;894.9209486;168.258;0.541104093;0.487418926;0.882147838;38.95337757;44.61153693;1000;3;29;n
2015;689.1573201;191.1424318;494.606;0.10220369;0.589421781;0.76674277;47.05509943;58.2490923;1000;3;30;n
1513;697.9391937;70.41374752;145.523;0.860267868;0.267883541;0.952171177;43.67835703;45.33530341;1000;3;31;n
1212;747.470297;381.6163366;130.818;0.848720803;0.27828298;0.943190661;39.06310074;40.66958463;1000;3;32;n
1098;778.5619308;337.9098361;147.169;0.610707185;0.476713923;0.886198547;36.1498056;41.1233221;1000;3;33;n
1335;798.2344569;1800.701873;139.535;0.824110925;0.506775942;0.93947924;38.81051805;45.01973923;1000;3;34;n
1313;855.6473724;506.8857578;163.172;0.596511883;0.360128438;0.918824353;40.02035268;42.89874099;1000;3;35;n
1174;858.9327087;1397.701874;132.729;0.79914764;0.39472959;0.961506962;37.12928226;40.41074204;1000;3;36;n
1379;882.5395214;114.9456128;141.9;0.823737828;0.376970314;0.940654843;40.97686341;44.24070644;1000;3;37;n
1585;900.6088328;1050.065615;216.473;0.412968325;0.314193631;0.888951206;44.53178698;46.90721913;1000;3;38;n
1072;964.4916045;1154.73041;126.94;0.796109778;0.241277601;0.95035461;36.70988896;37.82745809;1000;3;39;n
1867;1002.208356;1385.758972;168.886;0.792789625;0.457287167;0.932567433;46.95362005;52.79726984;1000;3;40;n
1227;1037.0652;1103.368378;239.011;0.262951819;0.516373658;0.845623708;37.90569448;44.26356288;1000;3;41;n
1293;1055.579273;1253.698376;138.27;0.812528049;0.416383458;0.9486427;39.25540721;43.17628457;1000;3;42;n
1569;1067.671128;1682.808795;150.949;0.830387029;0.37109428;0.963759214;43.2701678;46.59744963;1000;3;43;n
1136;1063.265845;1844.677817;135.235;0.745526234;0.542553564;0.934210526;35.4724891;42.22808754;1000;3;44;n
1234;1079.401945;1305.802269;160.675;0.577842189;0.511716408;0.89941691;37.96141029;44.18461849;1000;3;45;n
1622;1147.953144;698.2262639;192.177;0.534285688;0.530607794;0.900110988;42.49358933;50.13297981;1000;3;46;n
1269;1213.386919;809.4200158;139.858;0.779833496;0.35425875;0.947014925;39.54658764;42.289147;1000;3;47;n
1415;1229.102473;381.1045936;146.913;0.789710149;0.360646055;0.933993399;41.73341134;44.74459978;1000;3;48;n
1307;1275.372609;1137.264728;138.452;0.819215667;0.706693693;0.942321557;34.60147186;48.90531726;1000;3;49;n
1283;1279.115355;1188.605612;133.614;0.862077536;0.307342375;0.964661654;39.48959288;41.49814439;1000;3;50;n
1327;1301.927656;39.28711379;139.312;0.821739141;0.368562279;0.941134752;40.52617349;43.59513786;1000;3;51;n
1200;1308.658333;479.43;134.341;0.797803033;0.339126126;0.923787529;38.6235331;41.05650391;1000;3;52;n
1400;1371.362143;1042.301429;145.854;0.792485009;0.282823285;0.945307225;41.87175109;43.65405749;1000;3;53;n
1135;1391.977093;1759.054626;122.052;0.910000269;0.354463836;0.973413379;36.80818966;39.36411233;1000;3;54;n
1144;1399.801573;957.6416084;125.799;0.864682291;0.40962683;0.964586847;36.50051299;40.01138487;1000;3;55;n
1074;1425.353818;1256.485102;123.326;0.843831322;0.632877323;0.95212766;32.77839898;42.33556426;1000;3;56;n
1308;1430.996942;1773.950306;139.378;0.809223457;0.263504419;0.938980617;40.87458289;42.37208927;1000;3;57;n
1345;1467.017844;1416.884758;137.377;0.855981868;0.302212112;0.963467049;40.45458923;42.43900734;1000;3;58;n
1633;1499.522352;321.715248;151.933;0.853325553;0.333995638;0.947765525;44.94356542;47.68170549;1000;3;59;n
2841;1527.735304;506.2763112;623.664;0.090868921;0.553073283;0.750396197;59.88297328;71.87688092;1000;3;60;y
1392;1514.08477;938.9691092;135.078;0.915608639;0.276892814;0.97547302;41.46171596;43.14879899;1000;3;61;n
1042;1555.526871;1009.539347;116.131;0.920441653;0.359237953;0.972014925;35.22890588;37.74878858;1000;3;62;n
1613;1564.368878;787.4395536;149.774;0.86684348;0.201182343;0.960119048;45.25143812;46.19596974;1000;3;63;n
1085;1590.647005;1441.860829;118.504;0.921397108;0.384535304;0.967885816;35.75608313;38.73435674;1000;3;64;n
1184;1594.669764;724.5067568;131.704;0.818253843;0.32958286;0.93968254;38.33501362;40.60367692;1000;3;65;n
1400;1612.462857;1639.943571;136.492;0.902314789;0.389721592;0.967519005;40.82091579;44.32562201;1000;3;66;n
1205;1634.66722;1316.581743;135.342;0.789587505;0.300065062;0.936285936;38.94013327;40.82122693;1000;3;67;n
2369;1665.890249;1039.24694;251.473;0.459206835;0.85634383;0.859891107;41.55079035;80.46146533;1000;3;68;n
1357;1661.246868;1392.574797;139.717;0.835558722;0.453441424;0.943671766;39.83860421;44.69788672;1000;3;69;n
1294;1687.569552;669.0958269;143.745;0.753667568;0.338530515;0.899860918;40.73403384;43.29007862;1000;3;70;n
1097;1688.523245;180.9535096;129.669;0.781539733;0.700863436;0.92652027;31.7970186;44.57762512;1000;3;71;n
1618;1695.238566;594.8448702;158.508;0.778106695;0.300829707;0.933102653;45.02266885;47.2095139;1000;3;72;n
2020;1782.320792;1095.989604;211.469;0.551136185;0.863896482;0.870689655;37.84173619;75.13209247;1000;3;73;n
1157;1828.633535;1351.028522;126.063;0.870938162;0.433806792;0.956198347;36.53549637;40.54967406;1000;3;74;n
