"Area","Centroid_1","Centroid_2","Perimeter","Circularity","Eccentricity","Solidity","MinorAxisLength","MajorAxisLength","Concentration","Time","Enumeration","Aggregation"
1655,547.8567976,840.6870091,228.921,0.386186939,0.854734007,0.714285714,40.43521621,77.89991307,200,2,47,"y"
1931,578.5023304,566.6944588,254.542,0.365442122,0.856083877,0.736741702,41.86565696,81.00361215,200,2,48,"y"
2035,605.8850123,864.5611794,204.929,0.59068082,0.479990966,0.856121161,51.17779272,58.33733352,200,2,49,"y"
2359,606.6078847,1135.936838,302.577,0.31717146,0.818320596,0.742992126,49.13378561,85.48543957,200,2,50,"y"
1245,623.5526104,156.2072289,155.489,0.621735008,0.844757094,0.863384189,29.96534407,55.99429637,200,2,51,"y"
1087,651.3735051,830.0515179,136.451,0.700994582,0.858350043,0.894650206,27.35702049,53.32081891,200,2,52,"y"
1149,656.0809399,1142.70322,146.227,0.647159476,0.868755808,0.894859813,27.68212969,55.89631457,200,2,53,"y"
1444,670.450831,1192.043629,221.8,0.358622493,0.914639731,0.671627907,33.75350917,83.49250852,200,2,54,"y"
1577,660.4736842,1056.710209,247.29,0.315982715,0.935371178,0.677114641,32.89983369,93.02473606,200,2,55,"y"
1010,684.590099,574.8089109,132.051,0.694425155,0.855501031,0.916515426,26.37922992,50.9447153,200,2,56,"y"
1058,692.1531191,935.3412098,139.693,0.651671504,0.858682469,0.884615385,27.06520523,52.80933548,200,2,57,"y"
1676,707.1807876,1024.102625,221.015,0.419160979,0.804697296,0.782446312,40.47731744,68.17975102,200,2,58,"y"
2334,701.2742074,1127.271637,263.971,0.411075875,0.886225331,0.734193142,43.81401511,94.57872976,200,2,59,"y"
1325,699.0807547,134.3154717,172.873,0.537438027,0.747816702,0.821450713,37.29007817,56.16777126,200,2,60,"y"
1937,766.4734125,166.6561693,278.931,0.305926927,0.909075802,0.732048375,36.92577081,88.62948857,200,2,61,"y"
1434,753.8556485,543.2126918,224.067,0.349067578,0.963049029,0.754736842,25.03497093,92.95410905,200,2,62,"y"
1025,795.16,703.7863415,149.013,0.556369864,0.888933573,0.853455454,25.75169297,56.22196776,200,2,63,"y"
1131,808.4270557,1074.206897,144.854,0.648895712,0.85475213,0.928571429,27.54936272,53.07789997,200,2,64,"y"
3416,881.4795082,314.6873536,452.989,0.206323798,0.933772925,0.579474131,53.28390961,148.8934379,200,2,65,"y"
2195,916.3571754,981.4555809,247.687,0.438419948,0.964427499,0.853753403,27.98171394,105.8520105,200,2,66,"y"
1686,943.7615658,193.1625148,192.018,0.556272548,0.903177259,0.83177109,32.11615982,74.81614106,200,2,67,"y"
1028,939.8511673,318.1468872,149.476,0.554617771,0.885314798,0.833738848,26.58164559,57.16579309,200,2,68,"y"
1099,968.9317561,918.4476797,168.557,0.468461695,0.904635986,0.791786744,27.09165532,63.56781559,200,2,69,"y"
1958,983.8370787,137.6230848,208.345,0.550119287,0.880660111,0.825115887,36.82776616,77.73693358,200,2,70,"y"
1234,988.8168558,221.2771475,152.297,0.641811231,0.885586068,0.888408927,27.73768331,59.7183156,200,2,71,"y"
1141,988.2296231,465.6248904,187.172,0.39587301,0.923992758,0.765258216,26.53180581,69.3805289,200,2,72,"y"
2397,1012.463496,371.7288277,288.244,0.354765802,0.837097572,0.711275964,48.76151631,89.13480349,200,2,73,"y"
2076,1001.13343,540.7837187,216.028,0.54309601,0.879238732,0.84631064,36.9671907,77.59998503,200,2,74,"y"
2290,1037.110917,617.3921397,282.853,0.351827435,0.963450961,0.733034571,30.93147105,115.4655861,200,2,75,"y"
1392,1028.339799,323.5050287,159.723,0.659471064,0.485709334,0.888321634,42.0399647,48.09402177,200,2,76,"y"
2679,1076.079507,476.8988429,383.751,0.224906366,0.954166196,0.56975755,41.69929734,139.3333366,200,2,77,"y"
1263,1057.994458,576.3103721,190.515,0.423202907,0.917289208,0.774846626,28.21544492,70.85361284,200,2,78,"y"
2408,1120.501661,396.7475083,277.658,0.383772101,0.782522271,0.732137428,52.99998479,85.12377364,200,2,79,"y"
2121,1133.231023,78.45450259,246.264,0.4284875,0.724637432,0.745780591,51.80198375,75.170084,200,2,80,"y"
2268,1144.054233,443.4611993,247.042,0.455339435,0.846491534,0.76751269,44.12415373,82.87748491,200,2,81,"y"
1845,1209.77019,632.2433604,240.78,0.389677868,0.85594674,0.677312775,43.19479607,83.53858743,200,2,82,"y"
1747,1236.070406,389.907842,231.948,0.397224441,0.95371588,0.7652212,27.90799494,92.80725501,200,2,83,"y"
1200,1245.0425,203.6,162.792,0.547674446,0.821843675,0.836820084,32.25009853,56.60761649,200,2,84,"y"
1177,1249.794393,269.028887,175.249,0.464774648,0.921875724,0.768778576,26.56901913,68.56774522,200,2,85,"y"
1048,1277.215649,86.70324427,131.596,0.725426772,0.856726811,0.932384342,26.43729544,51.25787005,200,2,86,"y"
2347,1295.9902,287.9804005,216.995,0.608609145,0.550929964,0.872166481,52.54697964,62.96433573,200,2,87,"y"
2142,1342.831933,399.8576097,274.796,0.348445409,0.742991507,0.714714715,52.12719404,77.88305429,200,2,88,"y"
1631,1370.40466,80.9558553,168.308,0.697253832,0.543492315,0.910664433,43.43557032,51.74510186,200,2,89,"y"
2604,1428.956989,965.4496928,348.319,0.264909523,0.951616436,0.663270504,38.65969517,125.8091597,200,2,90,"y"
1146,1462.290576,1121.948517,168.896,0.486572733,0.88679249,0.807610994,28.23625674,61.09524816,200,2,91,"y"
1080,1453.592593,147.1611111,133.531,0.726558777,0.846770705,0.917587086,27.84474342,52.34387016,200,2,92,"y"
1522,1471.65046,871.4888305,198.106,0.47224039,0.952295969,0.845555556,25.32530635,82.98590616,200,2,93,"y"
2050,1535.703415,960.8687805,255.569,0.384888826,0.60893937,0.72720823,56.25056567,70.9144938,200,2,94,"y"
2142,1561.547152,118.910831,251.169,0.416198423,0.950625122,0.753429476,32.08693164,103.3923158,200,2,95,"y"
1088,1590.418199,191.5762868,133.92,0.727791889,0.829413826,0.90591174,28.43408738,50.89925214,200,2,96,"y"
1111,1646.708371,656.1962196,162.667,0.507820065,0.869115375,0.764099037,30.57962328,61.82580203,200,2,97,"y"
1303,1665.944743,494.0291635,169.657,0.54837024,0.909252731,0.842820181,27.67750515,66.49338577,200,2,98,"y"
1747,1662.016027,593.1722954,229.6,0.40527962,0.953965412,0.79157227,28.12270978,93.76841994,200,2,99,"y"
1241,1691.638195,1171.940371,183.517,0.447595459,0.90505115,0.755785627,29.32746202,68.95667391,200,2,100,"y"
1661,1795.02047,308.987357,189.116,0.56469312,0.920482513,0.851794872,30.35013192,77.66477377,200,2,101,"y"
1547,1807.484809,968.7278604,228.128,0.363465427,0.867889357,0.690316823,39.12896,78.76872726,200,2,102,"y"
1125,1796.362667,682.9048889,186.486,0.393150944,0.931666947,0.733855186,26.31462082,72.42951519,200,2,103,"y"
1615,1843.30031,639.193808,206.632,0.461190931,0.907713784,0.742870285,33.64144524,80.17696577,200,2,104,"y"
1511,1880.446724,404.8980807,203.068,0.446536125,0.58365738,0.784527518,46.22047383,56.92176309,200,2,105,"y"
1109,31.37150586,706.6032462,136.723,0.712403165,0.867121572,0.892196299,27.43347601,55.07662253,200,4,1,"y"
2001,95.65867066,403.8285857,232.525,0.452752552,0.681345179,0.790596602,48.75779878,66.61244931,200,4,2,"y"
1381,99.02968863,1095.722665,160.111,0.651153484,0.836423802,0.862047441,32.68717851,59.6390784,200,4,3,"y"
1503,91.79374584,316.2062542,180.927,0.557454545,0.902148251,0.83038674,30.80502048,71.40276426,200,4,4,"y"
1076,89.6802974,1015.860595,153.09,0.553967664,0.894901157,0.863563403,26.29159912,58.91484681,200,4,5,"y"
1029,104.5121477,835.202138,126.286,0.771918576,0.842925421,0.911426041,27.31670759,50.77167844,200,4,6,"y"
1177,114.104503,762.6890399,164.602,0.52564731,0.897547865,0.814532872,28.1394281,63.82023365,200,4,7,"y"
1090,144.7458716,101.4100917,159.301,0.519082679,0.912230752,0.82326284,25.97816635,63.41137285,200,4,8,"y"
1030,168.2038835,643.3504854,124.814,0.790548544,0.852194908,0.926258993,26.56689932,50.7753387,200,4,9,"y"
1067,165.705717,407.6822868,136.318,0.689409873,0.856673311,0.875307629,27.78661287,53.86471044,200,4,10,"y"
2185,209.6897025,516.789016,274.952,0.35504168,0.707802574,0.705293738,54.53069155,77.19407733,200,4,11,"y"
1023,229.714565,946.5698925,130.876,0.715750851,0.883341679,0.895013123,25.51424997,54.43276382,200,4,12,"y"
1141,262.4075372,172.283085,169.118,0.483201948,0.901128303,0.814418273,27.32110374,63.01682701,200,4,13,"y"
1024,298.2265625,999.1025391,146.738,0.572828757,0.893571531,0.827140549,26.07561633,58.08511003,200,4,14,"y"
1722,304.0121951,47.17770035,264.374,0.302374254,0.564839979,0.659012629,56.11994519,68.0076514,200,4,15,"y"
1681,332.6549673,688.3408685,189.496,0.569240109,0.853125122,0.845573441,36.23829608,69.46109706,200,4,16,"y"
1020,403.4607843,292.9862745,132.604,0.695598377,0.852035786,0.896309315,26.90955902,51.40478513,200,4,17,"y"
1027,423.3651412,723.6796495,134.92,0.677071525,0.873127993,0.891493056,26.25735112,53.86222369,200,4,18,"y"
1156,426.6089965,943.3598616,163.402,0.523735292,0.700679679,0.858203415,35.25795913,49.41716282,200,4,19,"y"
1786,518.1270997,239.4244121,215.72,0.468545971,0.943877032,0.823800738,29.27032078,88.61816904,200,4,20,"y"
1164,514.9991409,340.3127148,137.112,0.74359225,0.832226493,0.906542056,29.56240684,53.31980082,200,4,21,"y"
1169,542.6646707,397.1685201,141.809,0.699172574,0.87457206,0.870439315,28.09955325,57.94970115,200,4,22,"y"
1115,567.8699552,51.86457399,147.772,0.615216558,0.861396758,0.84469697,28.64312382,56.39157313,200,4,23,"y"
1233,603.3844282,767.5531225,164.032,0.554418341,0.884417704,0.834800271,29.22938527,62.63043608,200,4,24,"y"
1049,692.7225929,1158.594852,130.603,0.736941285,0.863839457,0.911381407,26.63304359,52.86776027,200,4,25,"y"
1526,715.0498034,202.0334207,265.3,0.266112199,0.646730951,0.632145816,46.90518877,61.49740208,200,4,26,"y"
1765,745.7478754,953.0866856,234.172,0.393830499,0.941804433,0.780973451,30.11661141,89.58976755,200,4,27,"y"
1111,773.1134113,98.57605761,139.312,0.687982054,0.880733086,0.885964912,26.82558372,56.64030818,200,4,28,"y"
2225,825.7235955,61.81752809,357.1,0.215452814,0.799997808,0.64028777,55.39839592,92.3302101,200,4,29,"y"
1372,821.9672012,795.1909621,172.847,0.556666311,0.884795174,0.841717791,30.71469925,65.91417959,200,4,30,"y"
1054,890.5559772,1058.024668,132.34,0.721588974,0.860727414,0.892464014,27.03561428,53.10825652,200,4,31,"y"
1012,946.451581,187.3537549,129.958,0.717855321,0.85069391,0.899555556,26.70966771,50.81154802,200,4,32,"y"
1948,1119.544148,515.9322382,268.22,0.332431415,0.849789056,0.74351145,42.94938366,81.47887908,200,4,33,"y"
1415,1165.749823,58.83250883,177.363,0.545745032,0.851596244,0.803977273,34.52737039,65.86700428,200,4,34,"y"
2339,1199.081659,484.2107738,280.642,0.36497702,0.878010454,0.773734701,43.1191012,90.08643262,200,4,35,"y"
1018,1249.056974,992.608055,131.364,0.707093683,0.881358558,0.893766462,25.55772141,54.09637171,200,4,36,"y"
1165,1274.461803,227.0755365,138.476,0.729963886,0.855940282,0.8996139,28.42340179,54.96962512,200,4,37,"y"
1078,1273.071429,144.3766234,126.22,0.809501984,0.829348154,0.93902439,28.05401729,50.21013413,200,4,38,"y"
1440,1295.903472,600.9131944,164.561,0.643417402,0.620498892,0.858676208,41.34069264,52.71653481,200,4,39,"y"
1015,1303.102463,39.23546798,130.62,0.712874441,0.839760056,0.900621118,27.63670941,50.90030066,200,4,40,"y"
1043,1369.550336,933.6308725,158.003,0.50473416,0.896938844,0.811041991,26.7107184,60.41035657,200,4,41,"y"
1212,1383.260726,567.349835,225.479,0.291394796,0.947287587,0.635886674,28.62185382,89.3359502,200,4,42,"y"
1173,1384.664962,517.8235294,150.832,0.621749421,0.894575643,0.847543353,27.39613844,61.30034186,200,4,43,"y"
2510,1472.317131,783.3828685,389.941,0.20413429,0.934076779,0.603946102,41.94254544,117.4623595,200,4,44,"y"
1398,1486.16166,1122.686695,189.388,0.473938567,0.93707912,0.795221843,26.94276761,77.17402166,200,4,45,"y"
1044,1483.636015,1030.59387,129.495,0.745733494,0.80708523,0.912587413,28.97842205,49.07978772,200,4,46,"y"
1112,1509.343525,99.29136691,132.613,0.758238076,0.848103784,0.928213689,27.82015135,52.50768039,200,4,47,"y"
1624,1552.139778,848.2155172,189.735,0.548576044,0.653019636,0.841450777,43.71224213,57.71804702,200,4,48,"y"
1039,1552.366699,262.4388835,155.612,0.518057884,0.896256465,0.833199679,26.28599538,59.26460164,200,4,49,"y"
1004,1580.988048,164.1334661,142.752,0.592749422,0.900991742,0.833887043,25.31792227,58.35824681,200,4,50,"y"
1094,1623.872943,754.8409506,136.715,0.702847816,0.859125037,0.888708367,27.66431284,54.05659423,200,4,51,"y"
1268,1628.01183,396.75,151.783,0.663878175,0.873167538,0.8678987,29.53593537,60.59645347,200,4,52,"y"
1939,1657.650851,927.7055183,245.179,0.395150195,0.735861371,0.793371522,47.21658342,69.73022705,200,4,53,"y"
2081,1659.401249,850.3570399,248.364,0.4134154,0.768361493,0.742683797,48.53748232,75.83790761,200,4,54,"y"
1045,1720.539713,412.6688995,147.789,0.576463215,0.902257893,0.832669323,25.56291119,59.28362682,200,4,55,"y"
1100,1795.362727,749.3390909,135.541,0.718718204,0.857341714,0.904605263,27.51845294,53.46008035,200,4,56,"y"
1684,1817.988124,97.1371734,210.601,0.463201338,0.638355711,0.82792527,45.98608209,59.74224038,200,4,57,"y"
1074,1823.937616,609.5009311,146.217,0.604997695,0.893988332,0.843014129,26.47425212,59.0824119,200,4,58,"y"
1073,1833.603914,543.9012116,138.873,0.668565006,0.875667298,0.899413244,26.48396381,54.8418878,200,4,59,"y"
1016,1877.633858,356.8966535,127.477,0.748330716,0.817574103,0.917795845,27.85679539,48.37732445,200,4,60,"y"
1080,1884.181481,125.7592593,135.888,0.702132569,0.87850238,0.9,26.42914802,55.3214306,200,4,61,"y"
1113,1890.982929,752.7825696,148.277,0.610023573,0.893736753,0.834332834,26.88849116,59.939772,200,4,62,"y"
1105,208.1638009,677.6099548,165.065,0.490779162,0.902848576,0.803636364,27.04149933,62.89325424,500,7,1,"y"
1457,308.0912835,224.05628,172.773,0.591651107,0.848408101,0.855046948,33.32828855,62.9616476,500,7,2,"y"
1115,347.4053812,1100.328251,130.355,0.786220511,0.825222327,0.919966997,28.90664455,51.17959197,500,7,3,"y"
1181,478.0397968,849.3429297,142.711,0.697640131,0.878017717,0.881343284,28.00485418,58.51067307,500,7,4,"y"
1095,523.5278539,480.3634703,135.086,0.720169118,0.850630288,0.907207954,27.71651737,52.71661974,500,7,5,"y"
1122,587.4910873,888.1818182,151.328,0.590903712,0.89668989,0.86440678,26.5614676,60.00431615,500,7,6,"y"
1117,647.6481647,201.2497762,156.605,0.550047038,0.907656899,0.80301941,26.63227445,63.45354607,500,7,7,"y"
1524,755.7854331,62.2683727,208.377,0.428053187,0.95240124,0.779938588,26.73830106,87.71047262,500,7,8,"y"
1107,759.965673,1097.943089,144.117,0.64149931,0.891240606,0.871653543,26.61862981,58.69200076,500,7,9,"y"
1028,772.0496109,376.5437743,150.791,0.545182379,0.871330409,0.834415584,27.35651434,55.75034547,500,7,10,"y"
1061,1031.150801,1073.263902,127.154,0.785354609,0.83707053,0.922608696,27.62323669,50.49075055,500,7,11,"y"
1892,1215.070296,195.9059197,181.672,0.696086445,0.762642474,0.902241297,40.70703694,62.93407772,500,7,12,"y"
1059,1247.011331,999.3408876,141.297,0.637880503,0.901410251,0.865903516,25.40770668,58.68291385,500,7,13,"y"
1162,1384.746127,572.9586919,162.948,0.52933566,0.902181039,0.83297491,27.1689668,62.98478875,500,7,14,"y"
1050,1414.728571,395.5038095,131.985,0.722632536,0.867747188,0.902837489,26.38010663,53.07806035,500,7,15,"y"
1096,1472.586679,200.0337591,137.733,0.693992971,0.863465032,0.911055694,27.13772252,53.80105936,500,7,16,"y"
1818,1487.582508,1088.055006,208.856,0.508325486,0.751542919,0.80513729,44.16877152,66.95441796,500,7,17,"y"
1274,1517.746468,312.5400314,146.978,0.710402592,0.873164787,0.913916786,28.86282235,59.21488401,500,7,18,"y"
1029,1571.923226,1116.380952,136.508,0.663049409,0.882043828,0.891681109,25.69169636,54.52775016,500,7,19,"y"
1144,1616.809441,410.0550699,147.044,0.637351986,0.886795558,0.886134779,26.89403699,58.19180675,500,7,20,"y"
1124,1699.569395,1140.413701,154.148,0.570921239,0.889648738,0.840059791,27.36731659,59.9312068,500,7,21,"y"
1191,1757.155332,524.774979,143.414,0.696813945,0.868032904,0.900226757,28.38913102,57.17774297,500,7,22,"y"
1220,1829.377049,680.4745902,157.713,0.592519659,0.903628094,0.820995962,27.72989926,64.74138924,500,7,23,"y"
1206,129.5257048,968.066335,128.668,0.872294504,0.297252565,0.959427208,38.41745753,40.23617758,7000,1,1,"n"
1068,129.0093633,578.6535581,127.131,0.790815192,0.200630983,0.943462898,36.65411173,37.41487258,7000,1,2,"n"
1143,149.8661417,160.0227472,128.991,0.822689929,0.34132316,0.948547718,37.1010651,39.47148532,7000,1,3,"n"
1052,240.5931559,259.6644487,115.882,0.933167261,0.288136716,0.974074074,35.85285032,37.44073894,7000,1,4,"n"
1130,259.3389381,176.6327434,124.765,0.86796547,0.291297141,0.962521295,37.20733448,38.8940682,7000,1,5,"n"
1631,410.6860822,906.7124464,162.544,0.746610914,0.773494284,0.934135166,36.58070137,57.71617586,7000,1,6,"n"
1343,546.7632167,373.454207,135.235,0.881374765,0.377275306,0.96967509,39.92203998,43.10764532,7000,1,7,"n"
1077,563.0083565,906.4605385,127.04,0.798594668,0.308254313,0.952254642,36.18150078,38.03358467,7000,1,8,"n"
2277,980.6947738,1170.698287,261.249,0.409336902,0.894505082,0.776603001,40.85122945,91.3779634,7000,1,9,"y"
1064,972.8139098,1034.326128,123.087,0.839143069,0.210720398,0.968152866,36.50869623,37.34727803,7000,1,10,"n"
1073,979.2842498,612.110904,127.065,0.795323175,0.260358882,0.950398583,36.47694929,37.779906,7000,1,11,"n"
1172,1144.931741,21.12883959,131.679,0.810261142,0.37369424,0.947453517,37.63513329,40.5746906,7000,1,12,"n"
1213,1184.659522,471.0338005,127.643,0.891163718,0.062170605,0.9704,39.32449065,39.40070987,7000,1,13,"n"
1112,1214.72482,832.6573741,125.907,0.839089151,0.210724588,0.961937716,37.34587469,38.20372125,7000,1,14,"n"
1066,1217.338649,1016.546904,120.497,0.876312412,0.159136605,0.963833635,36.75405005,37.22846832,7000,1,15,"n"
1897,1382.028466,215.8803374,217.251,0.490775876,0.900081799,0.823708207,35.04873017,80.43847639,7000,1,16,"y"
1017,1638.782694,591.4011799,116.519,0.892541705,0.154576403,0.961247637,35.89323731,36.32989217,7000,1,17,"n"
1061,1641.594722,635.1121583,118.802,0.896617634,0.312562782,0.963669391,35.95358606,37.84997967,7000,1,18,"n"
1005,1825.657711,429.3711443,116.809,0.877750589,0.188770261,0.968208092,35.52711315,36.1775391,7000,1,19,"n"
1019,1868.487733,601.0245339,118.678,0.862878727,0.555494368,0.961320755,32.91127959,39.57964664,7000,1,20,"n"
1721,1888.832074,913.3654852,159.806,0.81450703,0.726753417,0.949255378,38.98757906,56.75886946,7000,1,21,"n"
1499,152.2948632,392.6691127,156.936,0.735106745,0.783634575,0.936289819,34.81898549,56.04917713,10000,3,1,"y"
2231,186.6342447,967.2290453,252.095,0.430351735,0.941515775,0.842522659,32.29731548,95.84657416,10000,3,2,"y"
1057,222.1684011,1037.321665,130.844,0.739892539,0.134832595,0.948833034,36.69156091,37.02970161,10000,3,3,"n"
1031,398.0252182,814.4529583,125.791,0.779368947,0.155658009,0.951985226,36.21914721,36.6660697,10000,3,4,"n"
1011,403.4826904,960.3125618,122.631,0.803135814,0.312525007,0.946629213,35.11778387,36.96960886,10000,3,5,"n"
1803,471.9145868,428.2717693,234.488,0.401240297,0.912362552,0.792527473,33.64142178,82.17588029,10000,3,6,"y"
1469,521.4356705,770.4955752,205.791,0.422882071,0.894907914,0.826209224,30.68179444,68.75458962,10000,3,7,"y"
1686,542.4756821,700.396204,177.414,0.649898514,0.835314985,0.908405172,34.79711098,63.29375197,10000,3,8,"y"
